area,seg,vect,wall_width,smbl_class,att,norm,att+norm,total
522736,8.89013359999808,0.3324108000015258,5.836926700001641,0.4721812999996473,0.06473669999832055,0.0028085999947506934,0.06754529999307124,15.599197699993965
319708,5.319787400003406,0.11092800000187708,2.2592877999995835,0.2816388999999617,0.03353199999401113,0.003918600006727502,0.03745060000073863,8.009092700005567
514855,8.809958600002574,0.31620139999722596,6.487752599998203,0.35378879999916535,0.03412769999704324,0.0036154999979771674,0.037743199995020404,16.005444599992188
246202,3.7947725000049104,0.08991160000005038,1.0616571999998996,0.20757050000247546,0.022865899998578243,0.0023088999951141886,0.02517479999369243,5.179086600001028
386856,5.968449700005294,0.20152969999617198,3.3219817000062903,0.3673694999961299,0.03438019999885,0.0036036000019521452,0.03798380000080215,9.897314400004689
261072,3.8303028000009363,0.12072270000498975,2.342315100002452,0.3184754000030807,0.033344000003125984,0.004494400003750343,0.03783840000687633,6.649654400018335
314265,4.943402500000957,0.094113400002243,1.5038644000014756,0.24842050000006566,0.027493100002175197,0.004457600000023376,0.03195070000219857,6.82175150000694
321600,5.131873400001496,0.39089610000519315,4.317949399999634,0.46922830000403337,0.05609990000084508,0.00488749999931315,0.06098740000015823,10.370934600010514
257076,3.9025178000010783,0.110584200003359,1.6634249999988242,0.31042620000516763,0.02139490000263322,0.004522800001723226,0.025917700004356448,6.012870900012786
785180,12.870756500000425,0.6589650000023539,8.971216899997671,0.44339370000670897,0.07259570000314852,0.005259300000034273,0.0778550000031828,23.022187100010342
569067,9.126501599996118,1.0335999000017182,12.90295419999893,0.28311519999988377,0.12368399999832036,0.008779099996900186,0.13246309999522055,23.47863399999187
562209,8.663883099994564,0.17639439999766182,4.499620299997332,0.3657524000009289,0.02975480000168318,0.0028233000048203394,0.03257810000650352,13.73822829999699
497080,7.512422500003595,0.2280596000055084,4.595135700001265,0.3261028000051738,0.053602799998770934,0.004007900002761744,0.05761070000153268,12.719331300017075
455430,6.94659700000193,0.2771952999974019,5.136586999993597,0.43118520000280114,0.07333069999731379,0.004658900004869793,0.07798960000218358,12.869554099997913
623865,9.609167900001921,0.25041999999666587,6.329038700001547,0.40876370000478346,0.019884400004229974,0.0050135999990743585,0.024898000003304332,16.622288300008222
458577,7.03778720000264,0.24756199999683304,4.318824400004814,0.42891010000312235,0.0406957999948645,0.002442400000290945,0.043138199995155446,12.076221900002565
460191,6.9521332000003895,0.08501519999845186,1.9754496999958064,0.2856255000006058,0.01358510000136448,0.0015433999942615628,0.015128499995626044,9.31335209999088
639999,10.396147599996766,0.34270660000038333,7.822383799997624,0.5229982000018936,0.053592700001900084,0.0036093000016990118,0.057202000003599096,19.141438200000266
510119,7.921254900000349,0.3795745999959763,2.436818399997719,0.18265570000221487,0.028611200003069825,0.004298100000596605,0.03290930000366643,10.953212899999926
340416,5.368714700001874,0.10333610000088811,1.9293078999980935,0.3698782999999821,0.02643060000264086,0.0018641999995452352,0.028294800002186093,7.799531800003024
140085,2.6078926000045612,0.13532100000156788,1.024631499996758,0.03572120000171708,0.014224999998987187,0.005975000000034925,0.02019999999902211,3.8237663000036264
197446,2.891689600000973,0.1602731999955722,1.7940212000030442,0.21836590000020806,0.03568770000129007,0.003650200000265613,0.03933790000155568,5.103687800001353
356003,5.182901200001652,0.08792489999905229,1.799752200000512,0.21284719999675872,0.024796599995170254,0.002390699999523349,0.027187299994693603,7.310612799992668
764100,12.595467500002997,0.11237650000111898,3.7489416999960667,0.1078685000029509,0.017636599994148128,0.005563300001085736,0.023199899995233864,16.587854099998367
109482,2.1665280999950483,0.03362589999596821,0.3625709000043571,0.12674479999986943,0.008449699998891447,0.001761100000294391,0.010210799999185838,2.699680499994429
635076,9.74808320000011,0.24429159999999683,5.934713000002375,0.42415149999578716,0.044057599996449426,0.0035908999998355284,0.047648499996284954,16.398887799994554
512450,7.870936700004677,0.20369310000387486,4.400311999997939,0.3813016999993124,0.03218090000154916,0.003635299995949026,0.03581619999749819,12.892059700003301
397256,5.687039699994784,0.14637900000525406,3.010569199999736,0.15421410000271862,0.022620999996433966,0.002558299995143898,0.025179299991577864,9.023381299994071
415650,6.148970900001586,0.24052450000453973,3.149480099993525,0.2818651999987196,0.046525899997504894,0.0027663999935612082,0.0492922999910661,9.870132999989437
353584,5.21999340000184,0.14992310000525322,2.537418300002173,0.3428081999954884,0.021113599999807775,0.0025133000017376617,0.023626900001545437,8.2737699000063
754137,11.777832300002046,0.26924809999763966,6.055225799995242,0.21848419999878388,0.032564900000579655,0.0028271999981370755,0.03539209999871673,18.35618249999243
1315879,20.796708599998965,0.40303449999919394,13.563352299999679,0.48532130000239704,0.04821579999406822,0.0049343999999109656,0.053150199993979186,35.301566899994214
792110,12.941462000002502,0.3504832000035094,7.965373599996383,0.5454251000046497,0.034660199999052566,0.004264100003638305,0.03892430000269087,21.841668200009735
339945,5.1349909999989904,0.07472789999883389,2.028278699996008,0.3525235999986762,0.025977400000556372,0.0027182999983779155,0.028695699998934288,7.619216899991443
295360,4.662463100001332,0.05549859999882756,1.2335285999943153,0.35641559999930905,0.013011899995035492,0.002102299993566703,0.015114199988602195,6.3230200999823865
1201746,17.853449300004286,0.4143824999991921,15.04565900000307,0.6587492000035127,0.06573930000013206,0.004156800001510419,0.06989610000164248,34.0421361000117
169832,2.700421699999424,0.2845603000023402,2.055882600005134,0.11013649999949848,0.013202499998442363,0.007467499999620486,0.02066999999806285,5.17167110000446
