i,area,seg,vect,wall_width,smbl_class,att,norm,att+norm,total
0,522736,1.1624016000005213,1.040751100000307,4.835362900000291,0.3814544000006208,0.03511559999969904,0.002157999999326421,0.037273599999025464,7.457243600000766
1,319708,0.570241000000351,0.4745366999995895,1.6762588999999934,0.15046219999931054,0.010063199999422068,0.0018428000003041234,0.011905999999726191,2.8834047999989707
2,514855,1.0975153999997929,1.4239285999992717,4.767923999999766,0.29708000000027823,0.01948389999961364,0.002058700000816316,0.021542600000429957,7.607990599999539
3,246202,0.4371256000003996,0.24568409999938012,0.8283746999995856,0.08873630000016419,0.005593900000349095,0.0015634999999747379,0.0071574000003238325,1.6070780999998533
4,386856,0.6814976000005117,1.1496736999997665,2.2986447000002954,0.15155640000011772,0.013243600000350852,0.0017758000003595953,0.015019400000710448,4.296391800001402
5,261072,0.5202451000004658,0.4444913000006636,1.6803403999992952,0.14158769999994547,0.015144900000450434,0.0027270999999018386,0.017872000000352273,2.8045365000007223
6,314265,0.6126773000005414,0.284876599999734,0.9022204000002603,0.07385169999997743,0.003972800000155985,0.0015139999995881226,0.0054867999997441075,1.8791128000002573
7,321600,0.5546455000003334,1.7612451999993937,3.1560169999993377,0.3505956999997579,0.04612360000010085,0.0026683000005505164,0.04879190000065137,5.871295299999474
8,257076,0.4529028999995717,0.39373909999994794,1.270081300000129,0.13971489999948972,0.011996499999440857,0.0017941000005521346,0.013790599999992992,2.2702287999991313
9,785180,1.4601161000000502,2.1693280999998024,7.341285299999981,0.3854424999999537,0.03391569999985222,0.0022379000001819804,0.0361536000000342,11.392325599999822
10,569067,1.0173937999998088,3.6149501999998392,9.281184899999971,0.2532588999993095,0.05791559999943274,0.003959900000154448,0.06187549999958719,14.228663299998516
11,562209,1.0084737999995923,0.7101088999997955,3.551425999999992,0.29100449999987177,0.008898399999452522,0.0021803000008731033,0.011078700000325625,5.572091899999577
12,497080,0.9119913999993514,0.9997032999999647,3.5363601999997627,0.2788810000001831,0.017775799999981245,0.002081499999803782,0.019857299999785027,5.746793199999047
13,455430,0.810122500000034,1.024057200000243,4.121523800000432,0.29338909999933094,0.032695800000510644,0.0020352000001366832,0.03473100000064733,6.283823600000687
14,623865,1.1063895000006596,0.8613161000002947,5.1202573999999,0.2606217000002289,0.014525399999911315,0.0022778000002290355,0.01680320000014035,7.365387900001224
15,458577,0.80957540000054,0.8047944999998435,3.3850258000002214,0.2868879999996352,0.020107999999709136,0.0019712000002982677,0.022079200000007404,5.3083629000002475
16,460191,0.8257762000002913,0.2853467000004457,1.4164774000000762,0.1290219000002253,0.0031492999996771687,0.0013381999997363891,0.004487499999413558,2.661109700000452
17,639999,1.1682857999994667,1.2328142000005755,6.204983199999333,0.3926227000001745,0.036603399999876274,0.0024793000002318877,0.03908270000010816,9.037788599999658
18,510119,0.8901752000001579,0.9065239999999903,2.1071556999995664,0.19508829999995214,0.0043399000005592825,0.0024002999998629093,0.006740200000422192,4.105683400000089
19,340416,0.6562215000003562,0.4438314999997601,1.5384874000001219,0.15856710000025487,0.011582299999645329,0.0015545000005658949,0.013136800000211224,2.8102443000007042
20,140085,0.3071755999999368,0.413272899999356,0.7144806999995126,0.012824899999941408,0.003559300000233634,0.0022226000000955537,0.005781900000329188,1.453535999999076
21,197446,0.37573450000036246,0.7353142000001753,1.4564347999994425,0.1044116999992184,0.01609690000077535,0.0027229999996052356,0.018819900000380585,2.6907150999995793
22,356003,0.7689222999997583,0.2505384000005506,1.2057333000002473,0.08308930000021064,0.004834599999412603,0.0014029000003574765,0.00623749999977008,2.314520800000537
23,764100,1.3533601000008275,0.3000124999998661,2.9195153000000573,0.08826690000023518,0.005665099999532686,0.0012915000006614719,0.0069566000001941575,4.66811140000118
24,109482,0.4136123000007501,0.08548630000041157,0.23426219999964815,0.04555030000028637,0.0014061000001674984,0.001941399999850546,0.0033475000000180444,0.7822586000011142
25,635076,1.1423431000002893,0.7834156999997504,4.952205999999933,0.41966599999977916,0.020943299999999,0.0033503999993627076,0.024293699999361706,7.321924499999113
26,512450,0.9225388000004386,0.7464663999999175,3.606200500000341,0.2697111000006771,0.014263499999287887,0.0018903999998656218,0.01615389999915351,5.561070700000528
27,397256,0.6996220000000903,0.5546965000003183,2.4317050999998173,0.09884240000064892,0.011624699999629229,0.0022630999992543366,0.013887799998883565,3.7987537999997585
28,415650,0.8715391000005184,0.7382735999999568,2.426498800000445,0.261430499999733,0.012807499999325955,0.0024196000003939844,0.01522709999971994,4.312969100000373
29,353584,0.6360676999993302,0.710729899999933,1.710249400000066,0.18320259999927657,0.008738399999856483,0.0019143999998050276,0.01065279999966151,3.2509023999982674
30,754137,1.460328500000287,0.8598007999999027,5.303229499999361,0.2712770999996792,0.011766300000090268,0.0018749999999272404,0.013641300000017509,7.908277199999247
31,1315879,2.4437097999998514,2.202331999999842,12.017191199999615,0.4235260000004928,0.03876040000068315,0.0022101000004113303,0.04097050000109448,17.127729500000896
32,792110,1.4069156000005023,1.219477900000129,6.560003100000358,0.4293841999997312,0.028285099999266095,0.0021229000003586407,0.030407999999624735,9.646188800000346
33,339945,0.6286815999992541,0.2673487000001842,1.6880791999992653,0.21856669999942824,0.010592200000246521,0.0031936000004861853,0.013785800000732706,2.8164619999988645
34,295360,0.6311810999995942,0.23590129999956844,0.7825011000004451,0.09576670000024023,0.003507499999614083,0.0012353000001894543,0.0047427999998035375,1.7500929999996515
35,1201746,2.1708576999999423,2.4041213999998945,12.837533599999915,0.47906309999962104,0.05030650000026071,0.002935100000286184,0.053241600000546896,17.94481739999992
36,169832,0.33317170000009355,1.0734726999999111,1.406830599999921,0.036739500000294356,0.0036907999992763507,0.003735199999937322,0.007425999999213673,2.857640499999434
37,439855,0.952419899999768,0.655425699999796,2.5580568999994284,0.19568849999996019,0.015099400000508467,0.0020696999999927357,0.017169100000501203,4.378760099999454
38,375813,0.7841432000004716,1.0440337,2.806521299999986,0.2212997999995423,0.02263089999996737,0.0021268999998937943,0.024757799999861163,4.880755799999861
39,768888,1.3921652999997605,0.7238687000008213,5.670104599999831,0.2804627999994409,0.01893610000024637,0.0021793999994770274,0.021115499999723397,8.087716899999577
40,331730,0.596129600000495,0.3000616999997874,1.1219811999999365,0.08615399999962392,0.009419800000614487,0.0018222999997306033,0.01124210000034509,2.115568600000188
